81.44	77.95	84.64	0.00291	0.00314	0.00267	100000	100000	100000
80.68	77.19	83.86	0.00031	0.00035	0.00027	99709	99686	99733
79.71	76.22	82.89	0.00022	0.00026	0.00019	99678	99651	99706
78.72	75.24	81.90	0.00016	0.00019	0.00014	99656	99625	99687
77.74	74.25	80.91	0.00013	0.00015	0.00012	99639	99607	99674
76.75	73.27	79.92	0.00012	0.00014	0.00011	99626	99592	99662
75.76	72.28	78.93	0.00012	0.00014	0.00011	99614	99579	99651
74.77	71.28	77.94	0.00011	0.00013	0.00010	99602	99565	99640
73.78	70.29	76.95	0.00011	0.00012	0.00010	99590	99553	99630
72.78	69.30	75.95	0.00010	0.00010	0.00009	99580	99541	99621
71.79	68.31	74.96	0.00009	0.00010	0.00009	99570	99531	99611
70.80	67.32	73.97	0.00009	0.00010	0.00007	99561	99521	99603
69.80	66.32	72.97	0.00009	0.00012	0.00006	99552	99511	99595
68.81	65.33	71.98	0.00011	0.00015	0.00008	99542	99499	99589
67.82	64.34	70.98	0.00015	0.00017	0.00012	99531	99484	99581
66.83	63.35	69.99	0.00019	0.00022	0.00015	99517	99467	99570
65.84	62.36	69.00	0.00023	0.00027	0.00018	99498	99445	99554
64.85	61.38	68.01	0.00026	0.00033	0.00018	99475	99418	99537
63.87	60.40	67.03	0.00029	0.00038	0.00019	99449	99385	99518
62.89	59.42	66.04	0.00031	0.00042	0.00019	99420	99347	99500
61.91	58.45	65.05	0.00033	0.00044	0.00021	99389	99306	99480
60.93	57.47	64.07	0.00036	0.00047	0.00024	99356	99262	99459
59.95	56.50	63.08	0.00039	0.00050	0.00026	99320	99216	99435
58.97	55.53	62.10	0.00042	0.00054	0.00028	99282	99166	99409
58.00	54.56	61.11	0.00045	0.00058	0.00030	99240	99113	99381
57.02	53.59	60.13	0.00047	0.00061	0.00032	99196	99055	99351
56.05	52.62	59.15	0.00049	0.00063	0.00033	99149	98994	99319
55.08	51.66	58.17	0.00050	0.00064	0.00035	99101	98932	99286
54.11	50.69	57.19	0.00053	0.00066	0.00039	99051	98868	99251
53.13	49.72	56.21	0.00056	0.00068	0.00043	98998	98803	99212
52.16	48.76	55.24	0.00060	0.00073	0.00047	98943	98736	99170
